TEAM_ID,TEAM_NAME,TIME_OF_POSS,AVG_SEC_PER_TOUCH,SEASON,GAME_TYPE
1610612766,Charlotte Hornets,20.7,3.04,2016-17,Regular Season
1610612741,Chicago Bulls,20.9,2.95,2016-17,Regular Season
1610612739,Cleveland Cavaliers,20.9,3.19,2016-17,Regular Season
1610612742,Dallas Mavericks,22.2,3.24,2016-17,Regular Season
1610612743,Denver Nuggets,20.8,2.97,2016-17,Regular Season
1610612765,Detroit Pistons,20.6,3.11,2016-17,Regular Season
1610612744,Golden State Warriors,19.3,2.64,2016-17,Regular Season
1610612745,Houston Rockets,19.6,3.03,2016-17,Regular Season
1610612754,Indiana Pacers,21.0,3.11,2016-17,Regular Season
1610612746,LA Clippers,21.2,3.04,2016-17,Regular Season
1610612747,Los Angeles Lakers,20.6,3.01,2016-17,Regular Season
1610612763,Memphis Grizzlies,22.0,3.13,2016-17,Regular Season
1610612748,Miami Heat,21.5,3.21,2016-17,Regular Season
1610612749,Milwaukee Bucks,20.3,3.02,2016-17,Regular Season
1610612750,Minnesota Timberwolves,21.5,3.19,2016-17,Regular Season
1610612740,New Orleans Pelicans,19.9,2.86,2016-17,Regular Season
1610612752,New York Knicks,20.7,2.78,2016-17,Regular Season
1610612760,Oklahoma City Thunder,20.2,3.19,2016-17,Regular Season
1610612753,Orlando Magic,20.5,2.96,2016-17,Regular Season
1610612755,Philadelphia 76ers,20.9,2.64,2016-17,Regular Season
1610612756,Phoenix Suns,20.0,2.84,2016-17,Regular Season
1610612757,Portland Trail Blazers,21.8,3.3,2016-17,Regular Season
1610612758,Sacramento Kings,21.5,2.95,2016-17,Regular Season
1610612759,San Antonio Spurs,21.1,2.92,2016-17,Regular Season
1610612761,Toronto Raptors,21.3,3.26,2016-17,Regular Season
1610612762,Utah Jazz,21.7,3.03,2016-17,Regular Season
1610612764,Washington Wizards,20.6,3.21,2016-17,Regular Season
1610612737,Atlanta Hawks,20.9,2.79,2017-18,Regular Season
1610612738,Boston Celtics,21.2,3.01,2017-18,Regular Season
1610612751,Brooklyn Nets,21.4,2.86,2017-18,Regular Season
1610612766,Charlotte Hornets,20.8,3.11,2017-18,Regular Season
1610612741,Chicago Bulls,19.8,2.81,2017-18,Regular Season
1610612739,Cleveland Cavaliers,20.5,3.13,2017-18,Regular Season
1610612742,Dallas Mavericks,21.8,3.11,2017-18,Regular Season
1610612743,Denver Nuggets,20.8,2.94,2017-18,Regular Season
1610612765,Detroit Pistons,20.8,2.98,2017-18,Regular Season
1610612744,Golden State Warriors,19.4,2.63,2017-18,Regular Season
1610612745,Houston Rockets,20.8,3.34,2017-18,Regular Season
1610612754,Indiana Pacers,20.8,3.0,2017-18,Regular Season
1610612746,LA Clippers,20.4,2.92,2017-18,Regular Season
1610612747,Los Angeles Lakers,19.9,2.94,2017-18,Regular Season
1610612763,Memphis Grizzlies,21.5,2.93,2017-18,Regular Season
1610612748,Miami Heat,21.9,3.09,2017-18,Regular Season
1610612749,Milwaukee Bucks,20.0,2.99,2017-18,Regular Season
1610612750,Minnesota Timberwolves,21.8,3.22,2017-18,Regular Season
1610612740,New Orleans Pelicans,19.9,2.77,2017-18,Regular Season
1610612752,New York Knicks,21.1,2.87,2017-18,Regular Season
1610612760,Oklahoma City Thunder,20.3,3.22,2017-18,Regular Season
1610612753,Orlando Magic,20.7,3.02,2017-18,Regular Season
1610612755,Philadelphia 76ers,20.2,2.59,2017-18,Regular Season
1610612756,Phoenix Suns,20.5,2.96,2017-18,Regular Season
1610612757,Portland Trail Blazers,22.1,3.4,2017-18,Regular Season
1610612758,Sacramento Kings,21.3,2.94,2017-18,Regular Season
1610612759,San Antonio Spurs,21.4,2.97,2017-18,Regular Season
1610612761,Toronto Raptors,21.0,2.99,2017-18,Regular Season
1610612762,Utah Jazz,21.5,2.94,2017-18,Regular Season
1610612764,Washington Wizards,21.1,3.07,2017-18,Regular Season
1610612737,Atlanta Hawks,20.7,2.88,2018-19,Regular Season
1610612738,Boston Celtics,20.1,2.87,2018-19,Regular Season
1610612751,Brooklyn Nets,21.4,2.94,2018-19,Regular Season
1610612766,Charlotte Hornets,21.2,3.09,2018-19,Regular Season
1610612741,Chicago Bulls,21.2,3.14,2018-19,Regular Season
1610612739,Cleveland Cavaliers,22.1,3.28,2018-19,Regular Season
1610612742,Dallas Mavericks,21.5,2.95,2018-19,Regular Season
1610612743,Denver Nuggets,21.1,2.91,2018-19,Regular Season
1610612765,Detroit Pistons,22.0,3.07,2018-19,Regular Season
1610612744,Golden State Warriors,19.4,2.62,2018-19,Regular Season
1610612745,Houston Rockets,21.3,3.48,2018-19,Regular Season
1610612754,Indiana Pacers,20.9,2.93,2018-19,Regular Season
