TEAM_ID,SEASON,GAME_TYPE,TEAM_NAME,TEAM_CITY,TEAM_NAME,TIME_OF_POSS,AVG_SEC_PER_TOUCH
1610612763,2015,Regular Season,Memphis Grizzlies,Memphis,Grizzlies,21.7,3.07
1610612748,2015,Regular Season,Miami Heat,Miami,Heat,21.7,3.14
1610612749,2015,Regular Season,Milwaukee Bucks,Milwaukee,Bucks,20.7,3.05
1610612750,2015,Regular Season,Minnesota Timberwolves,Minnesota,Timberwolves,21.1,3.16
1610612740,2015,Regular Season,New Orleans Pelicans,New Orleans,Pelicans,20.4,2.97
1610612752,2015,Regular Season,New York Knicks,New York,Knicks,21,2.75
1610612760,2015,Regular Season,Oklahoma City Thunder,Oklahoma City,Thunder,20.6,3.25
1610612753,2015,Regular Season,Orlando Magic,Orlando,Magic,20.8,2.94
1610612755,2015,Regular Season,Philadelphia 76ers,Philadelphia,76ers,21.4,2.85
1610612756,2015,Regular Season,Phoenix Suns,Phoenix,Suns,20.5,2.83
1610612757,2015,Regular Season,Portland Trail Blazers,Portland,Trail Blazers,21.7,3.24
1610612758,2015,Regular Season,Sacramento Kings,Sacramento,Kings,20.3,3
1610612759,2015,Regular Season,San Antonio Spurs,San Antonio,Spurs,21.3,2.88
1610612761,2015,Regular Season,Toronto Raptors,Toronto,Raptors,22.2,3.16
1610612762,2015,Regular Season,Utah Jazz,Utah,Jazz,22.2,2.85
1610612764,2015,Regular Season,Washington Wizards,Washington,Wizards,19.8,2.87
1610612737,2016,Regular Season,Atlanta Hawks,Atlanta,Hawks,20.4,2.85
1610612738,2016,Regular Season,Boston Celtics,Boston,Celtics,20.5,2.78
1610612751,2016,Regular Season,Brooklyn Nets,Brooklyn,Nets,19.9,2.76
1610612766,2016,Regular Season,Charlotte Hornets,Charlotte,Hornets,20.7,3.04
1610612741,2016,Regular Season,Chicago Bulls,Chicago,Bulls,20.9,2.95
1610612739,2016,Regular Season,Cleveland Cavaliers,Cleveland,Cavaliers,20.9,3.19
1610612742,2016,Regular Season,Dallas Mavericks,Dallas,Mavericks,22.2,3.24
1610612743,2016,Regular Season,Denver Nuggets,Denver,Nuggets,20.8,2.97
1610612765,2016,Regular Season,Detroit Pistons,Detroit,Pistons,20.6,3.11
1610612744,2016,Regular Season,Golden State Warriors,Golden State,Warriors,19.3,2.64
1610612745,2016,Regular Season,Houston Rockets,Houston,Rockets,19.6,3.03
1610612754,2016,Regular Season,Indiana Pacers,Indiana,Pacers,21,3.11
1610612746,2016,Regular Season,Los Angeles Clippers,Los Angeles,Clippers,21.2,3.04
1610612747,2016,Regular Season,Los Angeles Lakers,Los Angeles,Lakers,20.6,3.01
1610612763,2016,Regular Season,Memphis Grizzlies,Memphis,Grizzlies,22,3.13
1610612748,2016,Regular Season,Miami Heat,Miami,Heat,21.5,3.21
1610612749,2016,Regular Season,Milwaukee Bucks,Milwaukee,Bucks,20.3,3.02
1610612750,2016,Regular Season,Minnesota Timberwolves,Minnesota,Timberwolves,21.5,3.19
1610612740,2016,Regular Season,New Orleans Pelicans,New Orleans,Pelicans,19.9,2.86
1610612752,2016,Regular Season,New York Knicks,New York,Knicks,20.7,2.78
1610612760,2016,Regular Season,Oklahoma City Thunder,Oklahoma City,Thunder,20.2,3.19
1610612753,2016,Regular Season,Orlando Magic,Orlando,Magic,20.5,2.96
1610612755,2016,Regular Season,Philadelphia 76ers,Philadelphia,76ers,20.9,2.64
1610612756,2016,Regular Season,Phoenix Suns,Phoenix,Suns,20,2.84
1610612757,2016,Regular Season,Portland Trail Blazers,Portland,Trail Blazers,21.8,3.3
1610612758,2016,Regular Season,Sacramento Kings,Sacramento,Kings,21.5,2.95
1610612759,2016,Regular Season,San Antonio Spurs,San Antonio,Spurs,21.1,2.92
1610612761,2016,Regular Season,Toronto Raptors,Toronto,Raptors,21.3,3.26
